procuring_entity,procurement_ref_no,description,contractor,amount,procuring_method,advert_date,notification_date,contract_signing,completion_date,tenders_sold,bids_received,page
EMINING TECHNICAL TRAINING INSTITUTE,ETTI/CTBIL/T/01/2014-2015,Labour only contract for the proposed construction of one storey building for Tuition Block and ICT Lab,NOMIC AGENCY LIMITED,"10,501,957.92",Open tender,4/27/2015,5/30/2015,6/15/2015,6/22/2016,12,4,70
NATIONAL CONSTRUCTION AUTHORITY,TENDER No. NCA/T/07/2014-2015,"PROPOSED INTERIOR PARTITIONING OF THE NCA OFFICES AT THE KCB BUILDING IN UPPERHILL, NAIROBI – BUILDERS WORKS",M/s Concordia General & Civil Engineering Co. Ltd,"157,495,554.80",Open tender,4/23/2015,6/18/2015,7/14/2015,8/27/2015,29,29,70
NATIONAL CONSTRUCTION AUTHORITY,NCA/T/08/2014-2015,"PROPOSED INTERIOR PARTITIONING OF THE NATIONAL CONSTRUCTION AUTHORITY OFFICES AT THE KCB BUILDING IN UPPERHILL, NAIROBI - LOT I – SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING OF ELECTRICAL WORKS",M/s Glammar Electrical & Mechanical Ltd,"17,500,000.00",Open tender,4/23/2015,6/18/2015,7/14/2015,8/27/2015,17,17,70
NATIONAL CONSTRUCTION AUTHORITY,TENDER NO. NCA/T/08/2014-2015,"PROPOSED INTERIOR PARTITIONING OF THE NATIONAL CONSTRUCTION AUTHORITY OFFICES AT THE KCB BUILDING IN UPPERHILL, NAIROBI - LOT II - SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING OF MECHANICAL WORKS.",M/s Anthopi Mechanical Engineering Services,"23,855,954.00",Open tender,4/23/2015,6/18/2015,7/14/2015,8/27/2015,10,10,70
NATIONAL CONSTRUCTION AUTHORITY,NCA/RT/22/2014-2015,Supply and Delivery of Desk top Computers,M/s Bida Investments,"7,008,000.00",Restricted Tender,6/8/2015,6/22/2015,6/30/2015,6/30/2015,7,4,70
NATIONAL CONSTRUCTION AUTHORITY,NCA/T/14/2014-2015,FRAMEWORK CONTRACT FOR SUPPLY OF AIRTIME FOR ONE YEAR 2015-2016,M/S CHEROMA COMMUNICATIONS,"6,000,000.00",Open tender,5/22/2015,6/29/2015,7/16/2015,7/16/2016,17,17,71
NATIONAL CONSTRUCTION AUTHORITY,NCA/RT/24/2014-2015,"DESIGN, PRINTING AND DELIVERY OF ACCREDITATION FORMS AND PROJECT REGISTRATION FORMS",CALIFORNIA LOGISTICS,"5,200,000.00",Restricted Tender,6/11/2015,6/22/2015,6/28/2015,6/30/2015,10,5,71
NATIONAL CONSTRUCTION AUTHORITY,NCA/T/15/2014-2015,PROVISION OF MEDICAL INSURANCE COVER FOR NCA MEMBERS OF STAFF FOR ONE YEAR 2015-2016,M/S PLAN AND PLACE INSURANCE BROKERS LTD,"15,520,433.90",Open tender,5/22/2015,6/29/2015,7/16/2015,7/16/2016,16,16,71
MOI UNIVERSITY,MU/T/14/2013-2014,"Supply, Delivery, Installation, Training and Commissioning of Dental Chairs",Dentmed (K) Ltd,"11,400,450.00",Open tender,1/20/2015,4/10/2015,6/11/2015,7/30/2015,10,8,71
MULTIMEDIA UNIVERSITY COLLEGE,MU/LR/35/2014/2015,"PROPOSED LECTURE ROOMS AND OFFICES AT MULTIMEDIA UNIVERSITY OF KENYA,MBAGATHI CAMPUS",KIONI CONSTRUCTION LTD,"33,500,000.00",Open tender,5/8/2015,6/30/2015,7/16/2015,3/16/2016,12,12,71
MULTIMEDIA UNIVERSITY COLLEGE,MMU/SWH/32/2014/2015,"PROPOSED BOUNDARY WALL, PARTIAL INTERIOR REFURBISHMENTS, LANDSCAPING AND EXTERNAL WORKS FOR MMU HOTEL (SMALL WORKS)",M/S KIONI CONSTRUCTION LTD,"18,252,575.00",Open tender,4/29/2015,6/16/2015,7/16/2015,10/14/2015,23,23,71
MOI UNIVERSITY,MU/T/20/2014-2015,Lease of Premises For Teaching Space,NACHA INVESTMENT LTD,"12,420,000.00",Open tender,2/19/2015,5/4/2015,7/8/2015,5/31/2016,5,5,71
NATIONAL AIDS CONTROL COUNCIL,NACC/0015/2014/2015,"NACC Data Centre, Data Storage and Data Back Up Services Upgrade For HQ and Offsite Backup and Restore Service.",Express Automation Limited,"25,520,819.00",Open tender,3/12/2015,5/29/2015,6/29/2015,9/15/2015,16,16,71
MULTIMEDIA UNIVERSITY COLLEGE,MMU/SS/23/2015/2016,TENDER DOCUMENT FOR PROVISION OF SECURITY GUARD SERVICES,M/S MOCAM SECURITY,"10,520,620.00",Open tender,6/4/2015,6/30/2015,7/16/2015,6/30/2016,11,11,71
RURAL ELECTRIFICATION AUTHORITY,REA/2014-2015/OT/053,SUPPLY OF OPGW FITTINGS,MATRIX VISION SYSTEMS LIMITED,"13,288,869.55",Open tender,4/6/2015,6/16/2015,7/30/2015,11/30/2015,0,12,71
KENYA INSTITUTE OF SPECIAL EDUCATION,PO-0549,Extension of Tuition Rooms,Centura Ltd,"13,892,530.00",Restricted Tender,4/7/2015,6/15/2015,6/26/2015,11/20/2015,12,8,71
NEW KENYA COOPERATIVE CREAMERIES,NKCC/036/2013-14,proposed NKCC Miritini factory UHT/Write off milk stores roof/floor repairs,Jumbo interlinks Ltd,"13,107,933.00",Open tender,5/2/2014,10/10/2014,12/8/2014,8/30/2015,6,6,71
NEW KENYA COOPERATIVE CREAMERIES,NKCC/008/2014-15,Provision of maintenance of weighing scales and serbry software,scales & Software Ltd,"9,011,306.56",Open tender,9/26/2014,11/2/2014,2/27/2015,6/30/2016,4,4,71
NEW KENYA COOPERATIVE CREAMERIES,NKCC/011/2014-15,Treatment of water for boilers and cooling water,Lynntech Chemicals & Equipments Ltd,"10,423,000.00",Open tender,9/26/2014,11/2/2014,2/6/2015,6/30/2016,9,9,71
NEW KENYA COOPERATIVE CREAMERIES,NKCC/005/2014-15,"Fabrication,supply & delivery of 2no.20,000ltrs milk tankers",DESBRO ENGINEERING LTD,"8,990,000.00",Open tender,9/26/2014,11/3/2014,2/24/2015,6/30/2015,3,3,71
KENYA NATIONAL BUREAU OF STATISTICS,KNBS/EOI/ 07/2014-2015,Tagging and Valuation of KNBS Assets,Njihia Muoka Rashid Co. Ltd,"5,028,600.00",Expression of Interest,3/31/2015,6/19/2015,7/20/2015,10/19/2015,14,14,71
RIFT VALLELY WATER SERVICES BOARD,RVWSB/NRK/5/2014-2015,"Desilting and expansion of intakes,	Construction of water kiosk,Installation of water pump sets and Rehabilitation works",La Femme Services Ltd,"7,284,259.40",Open tender,4/17/2015,6/19/2015,7/9/2015,10/9/2015,20,13,71
KENYA PORTS AUTHORITY,KPA/102/2014-15/CE,Supply & Installation of Signage along Berths and Roads,M/s Bracha  Ltd,"16,994,559.00",Restricted Tender,2/27/2015,4/10/2015,6/10/2015,7/10/2015,9,8,71
KENYA BUREAU OF STANDARDS,KEBS/T073/2014/2015,"SUPPLY, DELIVERY, INSTALLATION AND USER TRAINING OF LABORATORY EQUIPMENT - FT-IR MULTIRANGE SPECTROMETER",SCIENCESCOPE LIMITED,"19,207,364.00",Open tender,3/23/2015,6/29/2015,7/17/2015,8/31/2015,46,35,71
TANATHI WATER SERVICES BOARD,TAWSB/015/2014-15,CONSTRUCTION OF MIGWANI WATER SUPPLY PROJECT,PROLIFIC WORKS LIMITED,"92,783,373.95",Open tender,11/24/2014,1/29/2015,5/5/2015,9/13/2015,22,22,71
SANG'ALO INSTITUTE OF SCIENCE AND TECHNOLOGY,SIST/FBC/6/2014-2015,ERECTION AND COMPLETION OF FOOD AND BEVERAGE COMPLEX,DACHI LIMITED,"8,750,112.00",Open tender,4/23/2015,5/25/2015,6/12/2015,10/16/2015,9,6,72
NATIONAL COUNCIL FOR PERSONS WITH DISABILITIES,NCPWD/PRO/004A/2014/2015,SUPPLY AND DELIVERY OF LONG-SLEEVED T-SHIRTS FOR PERSONS WITH ALBINISM,HEMROD ENTERPRISES,"7,800,000.00",Open tender,5/21/2015,7/7/2015,7/16/2015,6/4/2015,2,36,72
NATIONAL COUNCIL FOR PERSONS WITH DISABILITIES,NCPWD/PRO/007/2014/2015,SUPPLY AND DELIVERY OF LIP CARE PRODUCTS FOR PERSONS WITH ALBINISM,MIRITINI INVESTMENTS LTD,"9,774,000.00",Open tender,5/22/2015,7/3/2015,7/16/2015,6/8/2015,1,8,72
NATIONAL COUNCIL FOR PERSONS WITH DISABILITIES,NCPWD/PRO/008/2014/2015,SUPPLY AND DELIVERY OF AFTER SUN LOTION FOR PERSONS WITH ALBINISM,CORTANA LIMITED,"14,980,000.00",Open tender,5/22/2015,7/3/2015,7/16/2015,6/8/2015,1,8,72
NATIONAL INDUSTRIAL TRAINING AUTHORITY (NITA),NITA/21/2014-2015,PROPOSED REFURBISHMENT OF BLOCK 'D' AT NATIONAL INDUSTRIAL TRAINING AUTHORITY.,ADSERVICE COMPANY,"18,661,779.00",Open tender,2/3/2015,5/15/2015,6/30/2015,10/30/2015,43,33,72
NATIONAL INDUSTRIAL TRAINING AUTHORITY (NITA),NITA/22/2014-2015,PROPOSED REFURBISHMENT OF KENYA TEXTILE TRAINING INSTITUTE (KTTI) WORKSHOP AT NATIONAL INDUSTRIAL TRAINING AUTHORITY,MODERN CONTRACTORS AND GENERAL SUPPLIES LTD,"22,105,153.00",Open tender,2/3/2015,5/15/2015,6/30/2015,10/30/2015,60,35,72
NATIONAL INDUSTRIAL TRAINING AUTHORITY (NITA),NITA/23/2014-2015,PROPOSED CONSTRUCTION AND REFURBISHMENT OF BLOCK 'A' AT NATIONAL INDUSTRIAL TRAINING AUTHORITY,VANQO ROADS ENGINEERING LTD,"34,115,122.00",Open tender,2/3/2015,5/15/2015,6/30/2015,10/30/2015,41,28,72
KENYA PORTS AUTHORITY,KPA/092/2014-15/EE,"UPGRADE OF LOW VOLTAGE SWITCH BOARDS AT BLOCK 2,3 & IT",M/S JUPITER ELECTRICAL & GENERAL CONTRACTOR LTD,"17,311,953.00",Open tender,1/21/2015,4/9/2015,5/9/2015,6/9/2015,10,10,72
KENYA PORTS AUTHORITY,KPA/043/2014-15/ME,"SUPPLY, INSTALLATION & COMMISIONING OF 2NO. GODIVA PUMPS",M/S SAQUA SOLUTIONS,"17,466,130.44",Direct Procurement,10/7/2014,3/9/2015,4/9/2015,5/9/2015,1,1,72
KENYA PORTS AUTHORITY,KPA/104/2014-15/MO,SUPPLY AND COMMISSIONING OF 1NO. NEW WHEEL MOUNTED HIGH PRESSURE VACUUM SYSTEM COMPLETE WITH HOSES AND STORAGE TANK FOR INLAND OIL SPILL RESPONSE & 1NO. NEW OIL SPILL PERISTALTIC DIESEL DRIVEN TRANSFER PUMP C/W HOSES & CUMLOCKS.,M/S DEMI -RO-CLEAN LTD,"10,163,377.00",Open tender,3/12/2015,6/22/2015,7/22/2015,8/22/2015,4,4,72
NATIONAL INDUSTRIAL TRAINING AUTHORITY (NITA),NITA/25/2014-2015,PROPOSED REFURBISHMENT OF SPORTS FACILITIES AT MOMBASA INDUSTRIAL TRAINING CENTRE FOR NATIONAL INDUSTRIAL TRAINING AUTHORITY.,AWALE LIMITED,"13,803,450.00",Open tender,2/9/2015,4/4/2015,5/13/2015,9/13/2015,20,11,72
NATIONAL INDUSTRIAL TRAINING AUTHORITY (NITA),NITA/26/2014-2015,"PROPOSED SUPPLY, INSTALLATION,TESTING AND COMMISSIONING OF 200KVA AND 100KVA GENERATOR SET FOR NATIONAL INDUSTRIAL TRAINING AUTHORITY.",ODD-MAC ENGINEERING LIMITED,"9,007,640.00",Open tender,4/7/2015,5/12/2015,7/3/2015,10/3/2015,9,9,72
KENYA PORTS AUTHORITY,TENDER NO. KPA/116/2014-15/CD -,CONSULTANCY SERVICES FOR THE DONGO KUNDU RESETTLEMENT ACTION PLAN (RAP) STUDY,M/S NAIROBI UNIVERSITY ENTERPRISES & SERVICES LTD,"22,231,238.12",Direct Procurement,3/16/2015,5/19/2015,6/19/2015,7/18/2015,1,1,72
RURAL ELECTRIFICATION AUTHORITY,REA/2014-2015/OT/042,Provision of complaint management solution and end user support system (SAP),"Seal infotech PVT ltd, bascon lt park, 56-L-venkatanarayana Road. T-nagar Chenai-600017- India","12,899,760.74",Open tender,2/4/2015,5/26/2015,6/30/2015,11/30/2015,0,5,72
TANA AND ATHI RIVERS DEVELOPMENT AUTHORITY (TARDA),TARDA/RFP/069/2014-2015,Consultancy Services for Environmental and Social Impact Assessment for the proposed High Grand Falls Multi-Purpose Dam Project,Kenface Enconsults Africa Ltd,"11,450,012.00",Request for proposals,6/17/2015,7/7/2015,7/17/2015,1/13/2016,0,2,72
RURAL ELECTRIFICATION AUTHORITY,REA/14-15/RT/050,Supply of concrete fitting and accessories for 66KV lines,"City engineerinng works limited, p.o box 10890-00400 Nairobi","20,505,992.80",Restricted Tender,2/24/2015,6/10/2015,6/30/2015,11/30/2015,0,1,72
RURAL ELECTRIFICATION AUTHORITY,REA/2014-2015/OT/056,disposable stores and goods,Kagot Agencies limited P.o box 26634-00100 Nairobi,"16,445,523.00",Open tender,5/12/2015,6/23/2015,6/30/2015,11/30/2015,0,11,72
RURAL ELECTRIFICATION AUTHORITY,REA/2014-2015/OT/054,High availability(HA) system upgrade,Gestalt gild ltd P.O BOX 12129-00100 NAIROBI,"30,036,218.46",Open tender,5/12/2015,6/16/2015,6/30/2015,11/30/2015,0,4,72
RURAL ELECTRIFICATION AUTHORITY,REA/2014-2015/OT/041,"Design ,supply installation and commissioning of a 60KV solar PV diesel plant",Power point system (EA) limited P.O BOX 6321-0200 Nairobi,"33,707,084.49",Open tender,2/4/2015,6/16/2015,6/30/2015,11/30/2015,0,22,72
KENYA PORTS AUTHORITY,TENDER NO.KPA/130/2014-15/EE,SUPPLY & INSTALLATION OF ONE (1) DUCT 150 SQUARE METER CU-XLPE SWA-PVC 6/12 KV 3 CORE AT BANDARI COLLEGE,MUMTAZ MERCANTILE CO. LTD,"7,618,833.60",Restricted Tender,4/27/2015,6/23/2015,7/15/2015,8/15/2015,8,8,72
KENYA PORTS AUTHORITY,TENDER NO. KPA/127/2014-15/ CCE,SUPPLY OF UTILITY VEHICLES TO KENYA PORTS AUTHORITY,M/S RYCE MOTORS,"8,848,000.00",Open tender,4/15/2015,6/19/2015,7/19/2015,8/19/2015,5,3,73
KENYA PORTS AUTHORITY,TENDER NO. KPA/086/2014-15/TE,"DESIGN, MANUFACTURE, SUPPLY, INSTALLATION AND COMMISSIONING OF  
TWO (2) NEW OVERHEAD CRANES.",M/S WILAN GLOBAL LTD,"33,524,000.00",Open tender,1/21/2015,5/21/2015,6/21/2015,7/21/2015,5,5,73
KENYA PORTS AUTHORITY,TENDER NO. KPA/083/2014-15/EE,"SUPPLY, INSTALLATION AND COMMISSIONING OF AIR CONDITIONING UNITS AT SUB STATIONS, TOWER BLOCK 1 AND KILINDINI ZONE",M/S NYALI AIR CONDITIONING & REFRIGERATION SERVICES LTD,"14,450,700.00",Open tender,1/21/2015,5/21/2015,6/20/2015,7/17/2015,10,5,73
KENYA PORTS AUTHORITY,TENDER NO. KPA/122/2014-15/TE,"SUPPLY, INSTALLATION & TESTING OF 
1NO. NEW HEAVY DUTY TYRE CHANGER",M/S AUTO BIKES,"6,368,400.00",Restricted Tender,3/23/2015,5/20/2015,6/23/2015,7/20/2015,7,4,73
KENYA PORTS AUTHORITY,TENDER NO. KPA/098/2014-15/EE,"SUPPLY, INSTALLATION AND COMMISSIONING OF 1NO. NEW
PASSENGER LIFT AND DECOMMISSIONING THE EXISTING LIFT AT ICD NAIROBI",M/S  IMAGINATIONS SOLUTIONS LTD,"7,094,560.00",Restricted Tender,2/25/2015,5/20/2015,6/20/2015,7/20/2015,3,2,73
KENYA PORTS AUTHORITY,TENDER NO. KPA/140/2014-15/CA,PROVISION OF DESIGN FOR PREPARATION OF KPA SHOW STANDS,M/s MARKSIGN MEDIA PROMOTIONS LTD,"6,539,384.00",Restricted Tender,6/2/2015,6/22/2015,6/30/2015,7/30/2015,4,2,73
WOTE TECHNICAL TRAINING INSTITUTE,MOEST/WTTI/MKN/04/2015 - 2016,CONSTRUCTION OF FOOD AND BEVERAGE WORKSHOP,M/S JONGI BUILDERS AND GENERAL CONTRACTORS,"15,306,633.00",Open tender,6/15/2015,7/13/2015,7/23/2015,6/2/2016,11,5,73
HIGHER EDUCATION LOANS BOARD (HELB),HELB/T/20/2013-2014,Provision of security guarding services,M/s Anchor Security Services,"7,614,816.00",Open tender,5/29/2014,7/16/2014,8/15/2014,6/30/2016,10,10,73
HIGHER EDUCATION LOANS BOARD (HELB),HELB/T/06/2014 - 2015,"Supply, installation and configuration of a Unified Threat Management System",M/s Xtranet Communications Ltd,"9,647,918.21",Open tender,9/30/2014,11/7/2014,1/8/2015,3/6/2015,8,8,73
HIGHER EDUCATION LOANS BOARD (HELB),HELB/T/10/2014 - 2015,"Supply, installation and configuration of a Microsoft Exchange Enterprise 2013",M/s Technopro Solutions Kenya Ltd,"6,914,765.00",Open tender,11/17/2014,12/17/2014,1/8/2015,3/23/2015,12,12,73
HIGHER EDUCATION LOANS BOARD (HELB),HELB/T/11/2014 - 2015,Provision of the Staff Medical Insurance over,M/s Liaison Group Insurance Brokers,"19,857,590.00",Open tender,2/25/2015,4/27/2015,5/25/2015,6/30/2017,16,16,73
HIGHER EDUCATION LOANS BOARD (HELB),HELB/128/2014-2015,Hire of accommodation and conference facilities for the Annual  HELB/Students Workshop,M/s Maanzoni Lodge,"6,127,500.00",Restricted Tender,3/15/2015,4/20/2015,5/19/2015,6/13/2015,8,8,73
HIGHER EDUCATION LOANS BOARD (HELB),HELB/T/13/2014 - 2015,Purchase of Personal Computers,M/s Dial Up Associates,"5,104,384.61",Open tender,3/12/2015,4/23/2015,5/22/2015,8/15/2015,33,33,73
KIRINYAGA UNIVERSITY COLLEGE,KyUC/ICT/EOI/NT/002/2014-2015,"PROPOSED SUPPLY, INSTALLATION, TESTING AND COMMISSIONING OF CAMPUS NETWORK INFRASTRUCTURE EQUIPMENT TO SERVE KIRINYAGA UNIVERSITY COLLEGE: PHASE II",M/S PLUTON ICT LIMITED  P.O.BOX 67969-00200 NAIROBI.,"14,275,845.20",Expression of Interest,6/16/2015,7/28/2015,8/17/2015,11/15/2015,28,3,73
KENYA POWER AND LIGHTING COMPANY LTD,KP3A/9A/QT/ST/10/14-15,PURCHASE OF CABLES 10MM2 S/C COPPER PVC LV RED & BLACK,M/s Lomas &Lomas Ltd,"19,836,000.00",Restricted Tender,3/13/2015,6/8/2015,6/17/2015,7/25/2015,12,9,73
KENYA MEDICAL SUPPLIES AUTHORITY,GF ATM RD9 PH2 TB SSF - 14/15-OIT-004,Supply and Delivery of Microscopes,Crown Healthcare (K) Limited,"8,668,000.00",Open tender,3/3/2015,7/7/2015,7/22/2015,10/20/2015,61,34,73
KENYA MEDICAL SUPPLIES AUTHORITY,GF ATM RD10 PH2 HIV SSF-14/15-OIT-013,Supply and Delivery of ARV's - Paediatrics (II),Macleods Pharmaceuticals Limited,"282,396,114.99",Open tender,2/9/2015,6/26/2015,7/9/2015,10/30/2016,12,9,73
LAKE VICTORIA  SOUTH WATER SERVICES BOARD,LVSWSB/T/2014-15: Lot 1,"Water Meters , Meter Testing Kit and Valves",Nupaxx  Services,"5,488,427.48",Open tender,11/18/2014,4/15/2015,7/3/2015,8/11/2016,15,7,73
LAKE VICTORIA  SOUTH WATER SERVICES BOARD,LVSWSB/T/1/2014-15 : Lot 3,NRW Management  Equipment,Generations Enterprises,"16,133,450.00",Open tender,11/18/2014,4/15/2015,7/10/2015,7/10/2016,5,2,73
LAKE VICTORIA  SOUTH WATER SERVICES BOARD,LVSWSB/T/1/2014-15 Lot 4,Pumps and Associated Items,Jos Hansen & Soehne EA Ltd,"17,655,200.00",Open tender,11/18/2014,4/15/2015,7/3/2015,10/3/2016,11,2,73
KENYA PIPELINE COMPANY LIMITED,SU/QT/817N/14,PAVING OF DISTILLATE AREA AT PS 25 TANK FARM,NORVEN INVESTMENT CO.,"15,650,139.00",Open tender,1/7/2015,2/18/2015,4/30/2015,10/31/2015,4,18,74
KENYA PIPELINE COMPANY LIMITED,SU/QT/643N/14,SUPPLY INSTALLATION AND COMMISSIONING OF  METERS FOR PS 1 PS 22 AND PS 14,BARICO MAINTENANCE LIMITED,"266,980,461.00",Open tender,10/1/2014,3/9/2014,6/24/2015,6/30/2017,3,4,74
KENYA PIPELINE COMPANY LIMITED,SU/QT/039N/15,"SUPPLY, INSTALLATION, IMPLEMENTATION AND COMMISSIONING OF A BUDGETING SYSTEM",DOORSUN CONSULTING LTD,"49,730,208.00",Open tender,1/23/2015,4/20/2015,7/7/2015,1/31/2016,10,8,74
KENYA PIPELINE COMPANY LIMITED,SU/QT/825N/ 14,CONSTRUCTION OF STAFF HOUSES AT PS 8 - KONZA AND PS 7 SULTAN HAMUD,BILHAN COMPANY LIMITED,"51,901,810.00",Open tender,1/7/2015,5/11/2015,7/7/2015,11/30/2015,32,29,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/17/2013-2014),"SUPPLY OF AGRICULTURAL TRACTOR (SPEC.NOMTD-1587-031-13) -4X4,181-210HP",lntertractor Co.Ltd,"15,776,600.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/17/2013-2014),"SUPPLY OF AGRICULTURAL TRACTOR (SPEC.NOMTD-1586-03113)-4X2,181-210HP",lntertractor Co.Ltd,"14,000,000.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/17/2013-2014),"SUPPLY OF AGRICULTURAL TRACTOR-(SPEC.NO.MTD-1585-03113)-4X4,151-180HP",lntertractor Co.Ltd,"14,839,320.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",lntertractor Co.Ltd,"SUPPLY OF AGRICULTURAL TRACTOR-(SPEC.NO.MTD-1584-03113)4X2151-180
HP",lntertractor Co.Ltd,"13,000,000.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/17/2013-2014),SUPPLY OF AGRICULTURAL TRACTOR-(SPEC.NO.MTD-1583-03113)-4X4131-150HP,lntertractor Co.Ltd,"8,760,000.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/17/2013-2014),SUPPLY OF AGRICULTURAL TRACTOR-(SPEC.NO.MTD-1582-03113)-4X2131-150HP,lntertractor Co.Ltd,"9,200,000.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/17/2013-2014),SUPPLY OF AGRICULTURAL TRACTOR-(SPEC.NO.MTD-1581-03113)-4X4111-130HP,lntertractor Co.Ltd,"7,737,000.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/17/2013-2014),"SUPPLY OF AGRICULTURAL TRACTOR-(SPEC.NO.MTD-1SS0-03113)4X2,111-130HP",lntertractor Co.Ltd,"6,500,000.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/17/2013-2014),SUPPLY OF AGRICULTURAL TRACTOR-(SPEC.NO.MTD-111S-03113)4X470-S0HP NEW HOLLAND NARROW GAUGE T4020 TURKEY,lntertractor Co.Ltd,"5,010,000.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/17/2013-2014),"SUPPLY OF AGRICULTURAL TRACTOR-(SPEC.NO.MTD-1117-03113)-4X2,SO-110 HP, NEW HOLLAND 6000 2WD,BRAZIL",lntertractor Co.Ltd,"5,466,520.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/17/2013-2014),"SUPPLY OF AGRICULTURAL TRACTOR-(SPEC.NO.MTD-1117-03113)-4X2,SO-110 HP. NEW HOLLAND TS 26.110 2WD,MEXICO",lntertractor Co.Ltd,"5,616,000.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/16/2013-2014),SUPPLY OF FIREFIGHTING VEHICLE (RAPID INTERVENTION VEHICLE) MTD-1064-285-1. LAND ROVER DEFENDER 110 (BRITAIN),M/S Equip Agencies,"16,920,000.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/16/2013-2014),"SUPPLY OF RESCUE VEHICLE,4X2MTD-1577-285-13. MAN TGM18.280 (GERMANY)",M/S Equip Agencies,"36,484,000.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/16/2013-2014),"SUPPLY OF FIREFIGHTING VEHICLE (RAPID INTERVENTION VEHICLE)WITH LIGHT MIST AND FOAM GENERATOR.MTD-1536285-13,
LAND ROVER DEFENDER 110 (BRITAIN)",M/S Equip Agencies,"17,180,000.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/16/2013-2014),SUPPLY OF MULTI-PURPOSE FIRE TRUCK WATER MIST TYPE (WITH AMBULANCE SECTION) MTD-1742-285-13. HYUNDAI HD72 S.KOREA,M/S Equip Agencies,"28,960,000.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/16/2013-2014),SUPPLY OF MULTI-PURPOSE FIRE TRUCK WITH AMBULANCE SECTION (MTD-1291-285-13) HYUNDAI AUTECH C51 S.KOREA,M/S Equip Agencies,"27,960,000.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,74
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/16/2013-2014),"SUPPLY OF FIRE FIGHTING ALL TERRAIN VEHICLE,HIGH SPEC MTD-1711-285-13. POLARIS SPORTS MAN 550X2 ATV U.S.A",M/S Equip Agencies,"5,900,000.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,75
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/16/2013-2014),SUPPLY OF FIRE FIGHTING ALL TERRAIN VEHICLE.MTD-1731285-13. DEM FAFV 250.3 CHINA,M/S Equip Agencies,"5,825,000.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,75
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/16/2013-2014),"SUPPLY OF FIRE FIGHTING ALL VEHICLE,240HP.10,000L MTD1753-285-13. ISUZU FV 233 JAPAN",M/S Equip Agencies,"49,000,000.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,8,6,75
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",SB/50/2013-2014,SUPPLY OF MOBILE DRIER 5 TONS,INTER-TRACTOR CO .LTD,"7,650,500.00",Open tender,12/1/2014,1/19/2015,1/20/2015,1/20/2016,11,9,75
